cluster,threshold_meV_per_atom,endpoint,metric,model,winner_frequency,winner_equivalent_replicates,bootstrap_replicates
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,10,alex_pbe_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,10,alexmp20_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,10,mp_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,mp_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,mp_source_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,10,mp_source_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,10,mp_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,mp_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,mp_source_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,10,mp_source_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,10,mp_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,10,mp_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,10,mp_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,10,mp_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,10,mp_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,alex_pbe_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,alexmp20_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,mp_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,mp_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,mp_source_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,mp_source_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,mp_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,mp_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,mp_source_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,25,mp_source_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,25,mp_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,25,mp_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,25,mp_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,25,mp_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,25,mp_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,alex_pbe_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,alexmp20_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,mp_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,mp_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,mp_source_coordinate,ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,mp_source_coordinate,ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,mp_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,mp_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,mp_source_coordinate,auroc,CHGNet,0.0,0.0,1000
equivalence_class_id,50,mp_source_coordinate,auroc,M3GNet,0.0,0.0,1000
equivalence_class_id,50,mp_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
equivalence_class_id,50,mp_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
equivalence_class_id,50,mp_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
equivalence_class_id,50,mp_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
equivalence_class_id,50,mp_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,alex_pbe_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,alex_pbe_source_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_source_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,alex_pbe_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,alex_pbe_source_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_source_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,0,alex_pbe_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,alex_pbe_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
reduced_formula,0,alex_pbe_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,alexmp20_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,alexmp20_source_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,0,alexmp20_source_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,0,alexmp20_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,alexmp20_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,alexmp20_source_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,0,alexmp20_source_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,0,alexmp20_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,0,alexmp20_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,alexmp20_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,0,alexmp20_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
reduced_formula,0,alexmp20_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,mp_matched_pool_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,mp_matched_pool_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,0,mp_matched_pool_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,0,mp_matched_pool_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,mp_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,mp_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,0,mp_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,0,mp_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,0,mp_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,mp_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,0,mp_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
reduced_formula,0,mp_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,mp_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,mp_source_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,0,mp_source_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,0,mp_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,0,mp_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,mp_source_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,0,mp_source_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,0,mp_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,0,mp_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,0,mp_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,0,mp_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
reduced_formula,0,mp_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,alex_pbe_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,alex_pbe_source_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_source_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,alex_pbe_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,alex_pbe_source_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_source_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,10,alex_pbe_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,alex_pbe_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
reduced_formula,10,alex_pbe_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,alexmp20_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,alexmp20_source_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,10,alexmp20_source_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,10,alexmp20_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,alexmp20_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,alexmp20_source_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,10,alexmp20_source_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,10,alexmp20_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,10,alexmp20_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,alexmp20_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,10,alexmp20_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
reduced_formula,10,alexmp20_source_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,mp_matched_pool_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,mp_matched_pool_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,10,mp_matched_pool_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,10,mp_matched_pool_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,mp_matched_pool_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,mp_matched_pool_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,10,mp_matched_pool_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,10,mp_matched_pool_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,10,mp_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,mp_matched_pool_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,10,mp_matched_pool_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
reduced_formula,10,mp_matched_pool_coordinate,normalized_ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,mp_source_coordinate,ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,mp_source_coordinate,ap,CHGNet,0.0,0.0,1000
reduced_formula,10,mp_source_coordinate,ap,M3GNet,0.0,0.0,1000
reduced_formula,10,mp_source_coordinate,ap,MACE-MP,1.0,1000.0,1000
reduced_formula,10,mp_source_coordinate,auroc,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,mp_source_coordinate,auroc,CHGNet,0.0,0.0,1000
reduced_formula,10,mp_source_coordinate,auroc,M3GNet,0.0,0.0,1000
reduced_formula,10,mp_source_coordinate,auroc,MACE-MP,1.0,1000.0,1000
reduced_formula,10,mp_source_coordinate,normalized_ap,ALIGNN-FF,0.0,0.0,1000
reduced_formula,10,mp_source_coordinate,normalized_ap,CHGNet,0.0,0.0,1000
reduced_formula,10,mp_source_coordinate,normalized_ap,M3GNet,0.0,0.0,1000
